filenames,captions
Парад в Минске 2019 13.jpg,"[[File:Парад в Минске 2019 13.jpg|thumb|Belarusian jets during a flyby in [[Minsk]], July 2019.]]"
Btr-d Belarus.jpg,[[File:Btr-d Belarus.jpg|thumb|right|[[BTR-D]]]]
European Union Eastern Partnership.svg,[[File:European Union Eastern Partnership.svg|thumb|Members of the Eastern Partnership]]
Diplomatic relations of Belarus.svg,! colspan=&quot;3&quot; |[[File:Diplomatic relations of Belarus.svg|frameless|425x425px]]
Embassy of Belarus.jpg,"[[File:Embassy of Belarus.jpg|thumb|right|[[Embassy of Belarus in Washington, D.C.]]]]"
3G speed brussel sept 2012 IMG 2886.JPG,"[[File:3G speed brussel sept 2012 IMG 2886.JPG|thumb|[[3G|3G mobile]] data network speed test in downtown [[City of Brussels|Brussels]], September 2012. After 2 years of bans on new mobile basestations, the mobile network download speed is down at 0.25 Mbit/s.]]"
"Eurostars 373 210 and 373 205 Brussels-South, June 2014.JPG","[[File:Eurostars 373 210 and 373 205 Brussels-South, June 2014.JPG|thumb|280px|[[Eurostar]] trains in [[Brussels South railway station|Brussel Zuid-Bruxelles Midi station]].]]"
Noorderkempen shuttle.JPG,[[File:Noorderkempen shuttle.JPG|thumb|280px|A common Belgian train.]]
TGV-PBKA-4307-et-ICE-4604-bruxelles-midi-30-10-2011-fws.jpg,[[File:TGV-PBKA-4307-et-ICE-4604-bruxelles-midi-30-10-2011-fws.jpg|thumb|280px|High-speed trains in the [[Brussels-South railway station]].]]
Lijn11 a12.jpg,[[File:Lijn11 a12.jpg|thumb|280px|The [[A12 road (Belgium)|A12]] with a railway in the centre.]]
Zicht op het Delwaidedok.jpg,[[File:Zicht op het Delwaidedok.jpg|thumb|280px|The Port of Antwerp is one of the largest in Europe and the world]]
Zaventem Brussels airport.jpg,[[File:Zaventem Brussels airport.jpg|thumb|300px|Brussels Airport is the main airport in Belgium.]]
Bk-map.png,[[File:Bk-map.png|240px|thumb]]
Sliv Neretve.gif,[[File:Sliv Neretve.gif|thumb|right|Watersheds in Bosnia and Herzegovina]]
Croatia Bosnia Herzegovina Drainage basins.svg,&lt;!-- [[File:Croatia Bosnia Herzegovina Drainage basins.svg|thumb|right|Watersheds in Bosnia and Herzegovina and Croatia]] --&gt;
Vrelo Bosne 3.JPG,"[[File:Vrelo Bosne 3.JPG|thumb|left|[[Bosna (river)|Bosna]] river, [[Ilidža]]]]"
Affected People by Floods 2005 2015 Europe.png,"*The [[Neretva]] is the longest river in Herzegovina, flowing from Jablanica south to the Adriatic Sea. The river is famous as it flows through the city of Mostar.[[File:Affected People by Floods 2005 2015 Europe.png|thumb|Percent of population affected by Flood Disasters in Europe by country from 2005 to 2015.]]"
Calcite Crystal from Trebević.JPG,[[File:Calcite Crystal from Trebević.JPG|thumb|200px|left| [[Calcite]] Crystal found at [[Trebević]] mountain around [[Sarajevo]]; Bosnia and Herzegovina on display at [[National Museum of Bosnia and Herzegovina]].]]
BiH_population_density_map_2013_by_municipalities.png,"[[File:BiH_population_density_map_2013_by_municipalities.png|thumb|upright=2|Population density in Bosnia and Herzegovina by municipality, early data from the 2013 census]]"
Life expectancy in Bosnia and Herzegovina.svg,[[File:Life expectancy in Bosnia and Herzegovina.svg|thumb|300px|[[Life expectancy]] in Bosnia and Herzegovina since 1950]]
Life expectancy by WBG -Bosnia and Herzegovina -diff.png,[[File:Life expectancy by WBG -Bosnia and Herzegovina -diff.png|thumb|300px|Life expectancy in Bosnia and Herzegovina since 1960 by gender]]
Bevölkerungspyramide Bosnien 2016.png,[[File:Bevölkerungspyramide Bosnien 2016.png|thumb|Population pyramid 2016]]
Pickup visa day Sarajevo 110411 (55) (5619660650).jpg,[[File:Pickup visa day Sarajevo 110411 (55) (5619660650).jpg|thumb|Office of the [[High Representative for Bosnia and Herzegovina|High Representative]] in [[Sarajevo]]]]
Presidency of BiH in Sarajevo 2023.01.29 1.jpg,[[File:Presidency of BiH in Sarajevo 2023.01.29 1.jpg|thumb|The [[Building of the Presidency of Bosnia and Herzegovina|Presidency Building]] in central Sarajevo]]
Flags of Bosnia and herzegovina.JPG,[[File:Flags of Bosnia and herzegovina.JPG|thumb|[[Parliamentary Assembly of Bosnia and Herzegovina]]]]
Predsjedništvo_BiH_(2989421535).jpg,"[[File:Predsjedništvo_BiH_(2989421535).jpg|thumb|The Presidency Building, seat of the [[Constitutional Court of Bosnia and Herzegovina]]]]"
Real GDP growth rates RS &amp; FBH.png,[[File:Real GDP growth rates RS &amp; FBH.png|250px|thumb|Real GDP growth rates in Republika Srpska and Federation of Bosnia and Herzegovina]]
BBI Shopping and Business Center.jpg,"[[File:BBI Shopping and Business Center.jpg|thumb|right|[[ARIA Centar|ARIA]] shopping and business center, also the headquarters of [[Al Jazeera Balkans]]]]"
Construction mercur.jpg,[[File:Construction mercur.jpg|right|thumb|The construction of the largest trade center in [[Herzegovina]] – &quot;Brodomerkur&quot;]]
Prijedor regions map 2 copy.svg,[[File:Prijedor regions map 2 copy.svg|thumb|[[Prijedor]] regional location.]]
SanicaniLake.JPG,[[File:SanicaniLake.JPG|thumb|right|Lake Saničani fish farm]]
TranzitBL.jpg,[[File:TranzitBL.jpg|thumb|right|[[Banja Luka]] west transit]]
Stari Most September 2004 4.jpg,"[[File:Stari Most September 2004 4.jpg|thumb|right|[[Stari Most]] in [[Mostar]], a [[World Heritage Site|UNESCO World Heritage Site]]]]"
Autobahn Visoko.jpg,[[File:Autobahn Visoko.jpg|thumb|Motorway on the [[European route E73|Pan-European Corridor Vc]] between [[Sarajevo]] and [[Visoko]]]]
2021-22 UN Human Development Report.svg,"[[File:2021-22 UN Human Development Report.svg|thumb|World map representing [[Human Development Index]] categories (based on 2021 data, published in 2022)"
Roads in Bosnia and Herzegovina.svg,[[File:Roads in Bosnia and Herzegovina.svg|300px|thumb|alt=Roads in Bosnia and Herzegovina|Roads in Bosnia and Herzegovina]]
ISAFBHTF.jpg,[[File:ISAFBHTF.jpg|thumbnail|right|[[ISAF]] Bosnian-Herzegovinian troops display their national flag.]]
Armed Forces Bosnia Herzegovina - Operational Command.png,[[File:Armed Forces Bosnia Herzegovina - Operational Command.png|thumb|right|400px|Operational Command organization 2020]]
Blue pog.svg,| caption = {{center|Brigade locations 2020: [[File:Blue pog.svg|8px]] 4th Infantry Brigade [[File:Red pog.svg|8px]] 5th Infantry Brigade [[File:Yellow pog.svg|8px]] 6th Infantry Brigade}}
Red pog.svg,| caption = {{center|Brigade locations 2020: [[File:Blue pog.svg|8px]] 4th Infantry Brigade [[File:Red pog.svg|8px]] 5th Infantry Brigade [[File:Yellow pog.svg|8px]] 6th Infantry Brigade}}
Yellow pog.svg,| caption = {{center|Brigade locations 2020: [[File:Blue pog.svg|8px]] 4th Infantry Brigade [[File:Red pog.svg|8px]] 5th Infantry Brigade [[File:Yellow pog.svg|8px]] 6th Infantry Brigade}}
BHAFPC 005 AFBiH.jpg,"[[File:BHAFPC 005 AFBiH.jpg|thumbnail|280px|right|Members of the Armed Forces of Bosnia and Herzegovina's BHAFPC 005, deployed to [[Bagram]] AFB.]]"
2nd Helicopter Squadron.png,"*** [[File:2nd Helicopter Squadron.png|27px]] 2nd Helicopter Squadron, at [[Sarajevo International Airport|Sarajevo Airport]]"
Combined Resolve XV AFBiH1.jpg,[[File:Combined Resolve XV AFBiH1.jpg|thumb|280px|right|[[Bosnian Ground Forces]] during Combined Resolve XV at Hohenfels Training Area.]]
Armed Forces of Bosnia and Herzegovina new uniforms.jpeg,[[File:Armed Forces of Bosnia and Herzegovina new uniforms.jpeg|thumb|291x291px|The new field uniform of the Armed Forces of Bosnia and Herzegovina.]]
Batalionul 7 arpr 01.jpg,[[File:Batalionul 7 arpr 01.jpg|thumb|Armed Forces of Bosnia and Herzegovina has 36 Romanian [[BM-21 Grad|APR-40]] 40-round launchers.]]
Diplomatic relations of Bosnia and Herzegovina.svg,! colspan=&quot;3&quot; |[[File:Diplomatic relations of Bosnia and Herzegovina.svg|frameless|425x425px]]
Botswana Map.jpg,|map = [[File:Botswana Map.jpg|250px]]&lt;br&gt;[[File:LocationBotswana.svg|240px]]
LocationBotswana.svg,|map = [[File:Botswana Map.jpg|250px]]&lt;br&gt;[[File:LocationBotswana.svg|240px]]
Botswana gweta 01.jpg,"[[File:Botswana gweta 01.jpg|thumb|Gweta, Botswana]]"
Road landscape.jpg,"[[File:Road landscape.jpg|thumb|Rain clouds over [[Serowe]] January 2019]]Current environmental issues in Botswana are [[overgrazing]], [[desertification]] and the existence of only limited fresh water resources."
Botswana single age population pyramid 2020.png,[[File:Botswana single age population pyramid 2020.png|thumb|Pyramid population of Botswana in 2020]]
BotswanaParliament.jpg,"[[File:BotswanaParliament.jpg|thumb|[[National Assembly (Botswana)|National Assembly of Botswana]]]]The legislature of Botswana is derived from the [[Westminster system]] of the United Kingdom, though it has several aspects that distinguish it from this system. Unlike in the United Kingdom, the leader of the legislature has no [[executive powers]], and it is subject to the Constitution of Botswana. Its official function under the constitution is to &quot;make laws for the peace, order and good government of Botswana&quot;.&lt;ref name=&quot;:0&quot; /&gt; The legislature is responsible for serving as a [[Separation of powers|check]] on the power of the executive.&lt;ref name=&quot;:1&quot; /&gt; The legislature has little power to limit the actions of the executive branch, leading to concerns that it is unable to check executive power.&lt;ref name=&quot;:0&quot; /&gt;&lt;ref&gt;{{Cite journal |last1=Botlhomilwe |first1=M. Z. |last2=Molebatsi |first2=R. M. |date=2014-09-01 |title=A democracy with weak oversight intitutions : an application to the &quot;African miracle&quot;, Botswana |url=https://journals.co.za/doi/abs/10.10520/EJC164768 |journal=Journal of Public Administration |volume=49 |issue=3 |pages=813–820 |hdl=10520/EJC164768 }}&lt;/ref&gt;&lt;ref name=&quot;:14&quot;&gt;{{Cite journal |last1=Mogalakwe |first1=Monageng |last2=Nyamnjoh |first2=Francis |date=2017-01-02 |title=Botswana at 50: democratic deficit, elite corruption and poverty in the midst of plenty |journal=Journal of Contemporary African Studies |language=en |volume=35 |issue=1 |pages=1–14 |doi=10.1080/02589001.2017.1286636 |issn=0258-9001|doi-access=free }}&lt;/ref&gt;"
Shepherd on donkey on the move.jpg,[[File:Shepherd on donkey on the move.jpg|thumb|left|Man on donkey herding goats in a dry river bed]]
Jwaneng Open Mine.jpg,"[[File:Jwaneng Open Mine.jpg|thumb|200px|left|The [[Jwaneng diamond mine]] is the richest in the world today.]]Since early 1980s, the country has been one of the world's largest producers of gem diamonds.&lt;ref name=&quot;Background 2002&quot; /&gt; Four large diamond mines have opened since independence.&lt;ref name=&quot;Background 2002&quot; /&gt; De Beers prospectors discovered diamonds in northern Botswana in the early 1970s.&lt;ref name=&quot;Background 2002&quot; /&gt; The first mine began production at [[Orapa diamond mine|Orapa]] in 1972, followed by a smaller mine at [[Letlhakane diamond mine|Letlhakane]].&lt;ref name=&quot;Background 2002&quot; /&gt; What has become the single richest diamond mine in the world opened in [[Jwaneng diamond mine|Jwaneng]] in 1982.&lt;ref name=&quot;Background 2002&quot; /&gt; The mine was discovered when termites looking for water brought grains of diamond to the surface.&lt;ref name=&quot;:2&quot;&gt;{{Cite book |url=https://www.worldcat.org/oclc/746835808 |title=Botswana Business Law Handbook Strategic Information and Laws. |date=2012 |publisher=Intl Business Pubns USA |others=USA International Business Publications |isbn=978-1-4387-6945-5 |oclc=746835808}}&lt;/ref&gt; Botswana produced a total of 21.3 million carats of diamonds from the three Debswana mines in 1999,&lt;ref name=&quot;Background 2002&quot; /&gt; and is the highest producer of diamonds by value in the world.&lt;ref name=&quot;:2&quot; /&gt; The Orapa 2000 Expansion of the existing Orapa mine was opened in 2000.&lt;ref name=&quot;Background 2002&quot; /&gt; According to Debswana, the Orapa 2000 Expansion project increase the Orapa's mine annual output from 6 million carats to 12 million carats and raised total production to 26 million carats.&lt;ref&gt;{{cite web|title=Our History|url=http://www.debswana.com/About-Us/Pages/Our-History.aspx|publisher=Debswana|access-date=31 March 2018}}&lt;/ref&gt; In 2003, Debswana opened the [[Damtshaa diamond mine]] about 220 kilometers (140&amp;nbsp;mi) west of the city of [[Francistown]]. The mine was placed into care and maintenance in December 2015 due to weak global demand but was scheduled to reopen in January 2018.&lt;ref&gt;{{cite web|title=Damtshaa – Debswana's newest mine|url=http://www.debeersgroup.com/botswana/en/who-we-are/de-beers-in-botswana/debswana/damtshaa.html|publisher=De Beers Group|access-date=31 March 2018}}&lt;/ref&gt;&lt;ref&gt;{{cite web|title=De Beers to Resurrect Damtshaa Mine|date = 30 October 2017|url=http://www.diamonds.net/News/NewsItem.aspx?ArticleID=59486&amp;ArticleTitle=De+Beers+to+Resurrect+Damtshaa+Mine|publisher=Rapaport News|access-date=31 March 2018}}&lt;/ref&gt;"
Giraffe standing.jpg,"[[File:Giraffe standing.jpg|thumb|right|180px|A [[giraffe]] in the Kalahari ]] [[Tourism]] is an increasingly important industry in Botswana, accounting for almost 12% of GDP.&lt;ref name=&quot;Background 2002&quot; /&gt; One of the world's unique ecosystems, the [[Okavango Delta]], is located in Botswana.&lt;ref name=&quot;Background 2002&quot; /&gt; The country offers excellent game viewing and birding both in the Delta and in the [[Chobe National Park]]—home to one of the largest herds of free-ranging elephants in the world.&lt;ref name=&quot;Background 2002&quot; /&gt; Botswana's [[Central Kalahari Game Reserve]] also offers good game viewing and some of the remotest and most unspoiled wilderness in southern Africa.&lt;ref name=&quot;Background 2002&quot; /&gt;"
Tourist Resort at Kasane.jpg,[[File:Tourist Resort at Kasane.jpg|thumb|right|Tourist resort at [[Kasane]]]]
Okavango11.jpg,[[File:Okavango11.jpg|thumb|right|Aerial view over [[Okavango Delta]]]]
Sadc logo.gif,"&lt;!-- Image with inadequate rationale removed: [[File:Sadc logo.gif|thumb|left|120px|SADC Logo]] --&gt;[[Gaborone]] is host to the headquarters of the 14-nation [[Southern African Development Community]] (SADC).&lt;ref name=&quot;Background 2002&quot; /&gt; A successor to the [[Southern African Development Coordination Conference]] (SADCC), which focused its efforts on freeing regional economic development from dependence on apartheid in South Africa, SADC embraced the newly democratic South Africa as a member in 1994 and has a broad mandate to encourage growth, development, and economic integration in Southern Africa.&lt;ref name=&quot;Background 2002&quot; /&gt; SADC's Trade Protocol, which was launched on 1 September 2000, calls for the elimination of all tariff and non-tariff barriers to trade by 2012 among the 11 signatory countries.&lt;ref name=&quot;Background 2002&quot; /&gt; If successful, it will give Botswana companies free access to the far larger regional market.&lt;ref name=&quot;Background 2002&quot; /&gt; The Regional Centre for Southern Africa (RCSA), which implements the U.S. Agency for International Development's (USAID) Initiative for Southern Africa (ISA), is headquartered in [[Gaborone]] as well.&lt;ref name=&quot;Background 2002&quot; /&gt;"
Flag of Botswana.svg,"<text bytes=""18131"" xml:space=""preserve"">{{Update|date=August 2023}}{{short description|Transport in Botswana}}[[File:Flag of Botswana.svg|thumb|Flag of Botswana]]"
BR Express Interior 1.jpg,"{{Main|Rail transport in Botswana}}Rail services are provided by [[Botswana Railways]], with most routes radiating from [[Gaborone]]. Botswana has the [[List of countries by rail transport network size|93rd longest railway network in the world]] at 888 km, it is [[Rail usage statistics by country|one of the busiest railways]] in Africa. The track gauge is 1,067 mm (3 ft 6 in) ([[cape gauge]]). Botswana is an associate member of the [[International Union of Railways]] (UIC).[[File:BR Express Interior 1.jpg|thumb|The new chairs of BR Express]]"
BR Express Interior.jpg,"Botswana Railways run 2 nightly passenger trains, one from [[Lobatse]] to [[Francistown]], and the other from Francistown to Lobatse, with stops in [[Gaborone]], [[Mahalapye]], [[Palapye]], and [[Serule]]. The passenger train is termed the &quot;BR Express&quot; ([[Botswana Railways]]). Passenger services were suspended from 2009 to 2016, with the exception of an international link to Zimbabwe from Francistown.[[File:BR Express Interior.jpg|thumb]]"
BR Express Dining Department.jpg,[[File:BR Express Dining Department.jpg|thumb|BR Express Dining Department]]
Botswana Rail Express train3.jpg,[[File:Botswana Rail Express train3.jpg|thumb|Freight Train of Botswana]]
BR Express 1.jpg,[[File:BR Express 1.jpg|thumb|BR Express Train from [[Gaborone]] to [[Francistown]]]]
BR Express 2.jpg,[[File:BR Express 2.jpg|thumb]]
Botswana rail network map.svg,[[File:Botswana rail network map.svg|thumb|Botswana rail network]]
Bus for mass travel.jpg,[[File:Bus for mass travel.jpg|thumb|Bus on the A1l]]
Cargo Trucking.jpg,[[File:Cargo Trucking.jpg|thumb|Cargo Trucking o the A3]]
SACU road sign W208.svg,[[File:SACU road sign W208.svg|thumb|right|60px|Botswana's old &quot;caution curves&quot; sign]]
SADC road sign W209.svg,[[File:SADC road sign W209.svg|thumb|right|65px|New sign]]
Public transport in Gaborone.jpg,[[File:Public transport in Gaborone.jpg|thumb|Combi (Minibus taxi)]]
Border crossing (ferry) from Botswana to Zambia - panoramio.jpg,[[File:Border crossing (ferry) from Botswana to Zambia - panoramio.jpg|thumb|Border crossing (ferry) from Botswana to Zambia]]{{Further|List of rivers of Botswana}}
"Aeropuerto Internacional Sir Seretse Khama de Gaborone, Botswana.jpg","[[File:Aeropuerto Internacional Sir Seretse Khama de Gaborone, Botswana.jpg|thumb|Sir Seretse Khama International Airport in Gaborone, Botswana]]"
Maun Airport.jpg,"In 2004 there were an estimated 85 airports, 10 of which (as of 2005), were paved. The country's main international airport is [[Sir Seretse Khama International Airport]] in [[Gaborone]]. The government-owned [[Air Botswana]] operates scheduled flights to [[Francistown]], [[Gaborone]], [[Maun, Botswana|Maun]], and [[Selebi-Phikwe]]. There is international service to [[Johannesburg, South Africa]]; [[Mbabane|Mbabane, Eswatini]]; and [[Harare, Zimbabwe]]. A new international airport near Gaborone was opened in 1984. Air passengers arriving to and departing from Botswana during 2003 totalled about 183,000.[[File:Maun Airport.jpg|thumb|Maun International Airport]]"
Kasane Airport (2919).jpg,[[File:Kasane Airport (2919).jpg|Kasane International Airport|alt=Kasane International Airport |thumb]]
"Gaborone, Station bridge 2.jpg","[[File:Gaborone, Station bridge 2.jpg|alt=Gaborone's Pedestrian Elevated Walkway|thumb|Gaborone's Pedestrian Elevated Walkway]]Botswana has many pedestrian elevated walkways at different places."
Botswana NSC and Extension.svg,[[File:Botswana NSC and Extension.svg|thumb|Botswana NSC and extension]]{{Relevance inline|discuss=|date=August 2023|reason=is a pipeline 'Transport'?}}
Pandamatenga Border Post Sign by Meraj Chhaya.jpg,[[File:Pandamatenga Border Post Sign by Meraj Chhaya.jpg|thumb|Pandamatenga Border Post Sign]]
"Elephant swimming, Botswana.jpg","[[File:Elephant swimming, Botswana.jpg|thumb|BW Tour boats]]"
Diplomatic_relations_of_Botswana.svg,! colspan=&quot;3&quot; |[[File:Diplomatic_relations_of_Botswana.svg|frameless|425x425px]]
"Embassy of Botswana, Washington, D.C..jpg","[[File:Embassy of Botswana, Washington, D.C..jpg|thumb|right|Embassy of Botswana in [[Washington, D.C.]]]]"
Köppen climate types of Brazil.svg,[[File:Köppen climate types of Brazil.svg|thumb|300px|Brazil map of Köppen climate classification zones]]
Pantanal em Itiquira.jpg,[[File:Pantanal em Itiquira.jpg|thumb|right|[[Pantanal]] wetland]]
Belezas da Chapada Diamantina 09.JPG,[[File:Belezas da Chapada Diamantina 09.JPG|thumb|[[Chapada Diamantina]] region in Bahia]]
Aerial view of the Amazon Rainforest.jpg,[[File:Aerial view of the Amazon Rainforest.jpg|thumb|An area of the [[Amazon rainforest]]]]
1 leblon aerial 2014.jpg,[[File:1 leblon aerial 2014.jpg|thumb|View of [[Rio de Janeiro]]]]
Supremo Brasil.jpg,[[File:Supremo Brasil.jpg|thumb|[[Supreme Federal Court]]]]
Congresso brasileiro.jpg,"[[File:Congresso brasileiro.jpg|thumb|right|[[National Congress of Brazil]], the national [[legislature]] and the only in [[bicameral]] format]]"
Palacio do Planalto.JPG,"[[File:Palacio do Planalto.JPG|thumb|right|[[Palácio do Planalto]], the seat of the [[executive power]]]]"
Câmara Legislativa do Distrito Federal 2012.jpg,[[File:Câmara Legislativa do Distrito Federal 2012.jpg|thumb|[[Legislative Chamber of the Federal District]]]]
1988- Deforestation rates in Brazil - Terra Brasilis.svg,"[[File:1988- Deforestation rates in Brazil - Terra Brasilis.svg|thumb|The deforestation rate in Brazil declined significantly during Lula's first time in office, a decline that reversed in the time of Bolsonaro.&lt;ref name=Axios_20221031&gt;{{cite web |last1=Freedman |first1=Andrew |title=Bolsonaro's defeat is a climate turning point |url=https://www.axios.com/2022/10/31/brazil-lula-bolsonaro-climate-election |website=Axios |date=31 October 2022 |archive-url=https://web.archive.org/web/20221031134834/https://www.axios.com/2022/10/31/brazil-lula-bolsonaro-climate-election |archive-date=31 October 2022 |url-status=live }}&lt;/ref&gt;&lt;ref name=TerraBrasilis_1988&gt;{{cite web |title= Taxas de desmatamento (Deforestation rates) |url=http://terrabrasilis.dpi.inpe.br/app/dashboard/deforestation/biomes/legal_amazon/rates |website=TerraBrasilis |archive-url=https://web.archive.org/web/20221029084145/http://terrabrasilis.dpi.inpe.br/app/dashboard/deforestation/biomes/legal_amazon/rates |archive-date=29 October 2022 |date=2022 |url-status=live}}&lt;/ref&gt;]]"
Brazilian bonds.webp,[[File:Brazilian bonds.webp|thumb|300px|center|Brazilian bonds had an [[Inverted yield curve]] in August 2014 when the 1 year bond got above the 10 year bond
Brazil Inflation 1981-1995.webp,|[[File:Brazil Inflation 1981-1995.webp|thumb|Brazil Inflation 1981-1995]]
Brazil inflation 1996-2022.webp,|[[File:Brazil inflation 1996-2022.webp|thumb|279px|Brazil inflation 1996-2022]]
Arroz 097.jpg,| colspan=&quot;3&quot; style=&quot;text-align:center;&quot; | [[File:Arroz 097.jpg|200px]]
Brasil economia.jpg,[[File:Brasil economia.jpg|thumb|left|300px|Economic activity in Brazil (1977).]]
Untitled (Vibro Air) Embraer EMB-135BJ Legacy D-AVIB (5024079232).jpg,| colspan=&quot;2&quot; style=&quot;text-align:center;&quot; | [[File:Untitled (Vibro Air) Embraer EMB-135BJ Legacy D-AVIB (5024079232).jpg|200px]]
Praias-urbanas-maceio.jpg,[[File:Praias-urbanas-maceio.jpg|thumb|right|Beaches in [[Maceió]].]]
Brasilia_aeroportojk_inauguracaoalasul.jpg,"[[File:Brasilia_aeroportojk_inauguracaoalasul.jpg|thumb|right|[[Brasília]], the Brazilian capital, has the third largest [[GDP]] of the country, after only [[São Paulo]] and [[Rio de Janeiro]]. All state capitals in the [[States of Brazil]], have flights to [[Brasília International Airport]].]]"
Jardim Botânico de Curitiba.jpg,[[File:Jardim Botânico de Curitiba.jpg|thumb|right|[[Curitiba]] has the fifth largest [[GDP]] of Brazil and the first in [[Southern Brazil]]. The city is second only to [[São Paulo]] in terms of the number of [[automotive industry|automotive industries]].]]
Oil platform P-51 (Brazil).jpg,[[File:Oil platform P-51 (Brazil).jpg|thumb|right|Oil platform P-51 of [[Petrobras]].]]
ItaipuAerea2AAL.jpg,[[File:ItaipuAerea2AAL.jpg|thumb|right|[[Itaipu Dam]] in [[Paraná (state)|Paraná]].]]
Energia Eolica.jpg,[[File:Energia Eolica.jpg|thumb|right|[[Wind power]] in [[Parnaíba]].]]
Angra dos Reis - usinas nucleares.jpg,"[[File:Angra dos Reis - usinas nucleares.jpg|thumb|[[Angra Nuclear Power Plant]] in [[Angra dos Reis]], [[Rio de Janeiro (state)|Rio de Janeiro]]]]"
Usina solar de Pirapora 2.gif,"[[File:Usina solar de Pirapora 2.gif|thumb|Pirapora Solar Complex, the largest in Brazil and Latin America, with a capacity of 321 MW.]]"
Ilha de Mocanguê by Diego Baravelli (cropped).jpg,[[File:Ilha de Mocanguê by Diego Baravelli (cropped).jpg|thumb|right|[[Rio–Niterói Bridge]].]]
Vista Aeroporto Guarulhos.jpg,"[[File:Vista Aeroporto Guarulhos.jpg|thumb|[[São Paulo–Guarulhos International Airport]] with the [[São Paulo Metro]], the airport metro station that connects with the city of [[São Paulo]].]]"
Port Santos.jpg,[[File:Port Santos.jpg|thumb|[[Port of Santos]].]]
Agro PR Soja em Guarapuava.jpg,[[File:Agro PR Soja em Guarapuava.jpg|thumb|right|Brazil is the largest producer and exporter of [[soybeans]] in the world. Farm in [[Southern Brazil]].]]
Coffee farmer in Brazil.jpg,[[File:Coffee farmer in Brazil.jpg|thumb|right|Brazil is the largest producer and exporter of [[coffee]] in the world. [[Brazil]]ian coffee farmer producing.]]
Museu do Amanha 05 2016 Rio 2085.jpg,[[File:Museu do Amanha 05 2016 Rio 2085.jpg|thumb|right|[[Port of Rio de Janeiro]].]]
Recife - Boa Viagem.jpg,[[File:Recife - Boa Viagem.jpg|thumb|right|[[Recife]] with its skyscrapers.]]
Downtown of Rio de Janeiro.jpg,[[File:Downtown of Rio de Janeiro.jpg|thumb|right|Central business district of [[Rio de Janeiro]].]]
Ilha de Mocanguê by Diego Baravelli (cropped).jpg,[[File:Ilha de Mocanguê by Diego Baravelli (cropped).jpg|200px|thumb|right|[[Rio–Niterói Bridge]]]]
A Saúde dos Portos (7110638275).jpg,"[[File:A Saúde dos Portos (7110638275).jpg|200px|thumb|right|Port of Itajaí, Santa Catarina, Brazil]]"
ViewfromAir-SaoPaulo.jpg,[[File:ViewfromAir-SaoPaulo.jpg|thumb|[[São Paulo–Guarulhos International Airport]].]]
Riodejaneiro aerea aeroportogaleao-131756(cut).jpg,[[File:Riodejaneiro aerea aeroportogaleao-131756(cut).jpg|thumb|[[Rio de Janeiro-Galeão International Airport]].]]
ARCHELLA E THERY Img 10.png,[[File:ARCHELLA E THERY Img 10.png|thumb|Passenger flow between the main airports in Brazil (2001).]]
Foto Oficial do Senhor Ministro da Defesa José Múcio Monteiro Filho (52624967260).jpg,"[[File:Foto Oficial do Senhor Ministro da Defesa José Múcio Monteiro Filho (52624967260).jpg|left|thumb|[[José Múcio]], the current defence minister.]]"
Minist%C3%A9rio_de_Defesa_do_Brasil.JPG,[[File:Minist%C3%A9rio_de_Defesa_do_Brasil.JPG|thumb|right|Ministry of Defense of Brazil]]
Concha Acústica do Exército.jpg,[[File:Concha Acústica do Exército.jpg|thumb|[[Army High Command]] HQ in Brasília]]
Comae.png,[[File:Comae.png|thumb|right|Coat of arms of [[Aerospace Operations Command]]]]
19 04 2022 - Ministro da Defesa prestigia celebração dos 374 anos do Exército (52017823580).jpg,[[File:19 04 2022 - Ministro da Defesa prestigia celebração dos 374 anos do Exército (52017823580).jpg|thumb|right|Leopard 1A5BR]]
23062020 Cerimônia de Inauguração do Centro de Operações Espaciais Principal (COPE-P).jpg,"[[File:23062020 Cerimônia de Inauguração do Centro de Operações Espaciais Principal (COPE-P).jpg|thumb|right|Inauguration of the ''Space Operations Center'' in Brasília, June 2020.]]"
Ponta Pora radar station (cropped).jpg,[[File:Ponta Pora radar station (cropped).jpg|thumb|right|Ponta Porã radar station]]
"19-03-2019 Encontro com o Senhor Donald Trump, Presidente dos Estados Unidos da América.jpg","[[File:19-03-2019 Encontro com o Senhor Donald Trump, Presidente dos Estados Unidos da América.jpg|right|thumb|Bolsonaro with United States President [[Donald Trump]] at the [[White House]], 19 March 2019]]"
"20 09 2021 - Encontro com o Primeiro Ministro do Reino Unido, Boris Johnson (51496837523).jpg","[[File:20 09 2021 - Encontro com o Primeiro Ministro do Reino Unido, Boris Johnson (51496837523).jpg|thumb|right|Bolsonaro with United Kingdom Prime Minister [[Boris Johnson]], 20 September 2021]]"
Bolsonaro Xi Jinping China 2019.jpg,[[File:Bolsonaro Xi Jinping China 2019.jpg|left|thumb|Bolsonaro with Chinese President [[Xi Jinping]] in October 2019]]
Bolsonaro and Putin in November 2019 (cropped).jpg,[[File:Bolsonaro and Putin in November 2019 (cropped).jpg|right|thumb|Bolsonaro with Russian President [[Vladimir Putin]] in November 2019]]
